Date,VALE3.SA,PETR4.SA,PETR3.SA,ITUB4.SA,BBDC4.SA,B3SA3.SA,ABEV3.SA,JBSS3.SA,WEGE3.SA,SUZB3.SA,ITSA4.SA,BBAS3.SA,BRAX11.SA,BOVA11.SA
2012-01-02,40.900001525878906,21.729999542236328,23.209999084472656,15.495298385620117,10.943808555603027,3.25,10.872474670410156,5.619999885559082,2.760354995727539,20.010000228881836,5.8592610359191895,24.290000915527344,39.56999969482422,57.029998779296875
2012-01-03,42.720001220703125,22.40999984741211,24.020000457763672,15.882338523864746,11.175442695617676,3.3066658973693848,10.748560905456543,5.789999961853027,2.8254430294036865,20.010000228881836,6.032830238342285,24.18000030517578,40.45000076293945,58.400001525878906
2012-01-04,43.0099983215332,22.56999969482422,24.170000076293945,15.900552749633789,11.19326114654541,3.366666078567505,10.498734474182129,5.900000095367432,2.840235948562622,20.010000228881836,6.043348789215088,24.059999465942383,40.45000076293945,58.400001525878906
2012-01-05,41.86000061035156,22.309999465942383,24.020000457763672,15.782163619995117,11.121989250183105,3.3299999237060547,10.290878295898438,6.0,2.857988119125366,20.010000228881836,6.0170512199401855,23.809999465942383,40.08000183105469,57.61000061035156
2012-01-06,41.5,22.329999923706055,24.0,15.900552749633789,11.260969161987305,3.380000114440918,10.264896392822266,6.070000171661377,2.8254430294036865,20.010000228881836,6.048608779907227,23.209999084472656,40.06999969482422,57.75
2012-01-09,41.45000076293945,22.6299991607666,24.479999542236328,16.000728607177734,11.289478302001953,3.433332920074463,10.244909286499023,5.869999885559082,2.8254430294036865,20.010000228881836,6.090685844421387,23.399999618530273,40.11000061035156,58.25
2012-01-10,41.400001525878906,22.899999618530273,24.81999969482422,16.210186004638672,11.314422607421875,3.50333309173584,10.192944526672363,5.849999904632568,2.810650110244751,20.010000228881836,6.185359954833984,23.889999389648438,40.560001373291016,58.900001525878906
2012-01-11,41.709999084472656,22.90999984741211,24.850000381469727,16.232952117919922,11.321550369262695,3.4700000286102295,10.192944526672363,5.760000228881836,2.810650110244751,20.010000228881836,6.180100917816162,24.25,40.5,59.20000076293945
2012-01-12,41.290000915527344,23.079999923706055,25.15999984741211,16.269380569458008,11.325114250183105,3.4033329486846924,10.238913536071777,5.599999904632568,2.810650110244751,20.010000228881836,6.169580936431885,24.459999084472656,40.630001068115234,59.099998474121094
2012-01-13,40.45000076293945,23.049999237060547,25.3700008392334,16.16465187072754,11.121989250183105,3.369999885559082,10.252903938293457,5.420000076293945,2.8254430294036865,20.010000228881836,6.127503871917725,24.700000762939453,40.36000061035156,58.20000076293945
2012-01-16,40.709999084472656,23.649999618530273,25.969999313354492,16.27393341064453,11.207514762878418,3.369999885559082,10.374818801879883,5.420000076293945,2.8254430294036865,20.010000228881836,6.127503871917725,24.700000762939453,40.36000061035156,58.20000076293945
2012-01-17,40.709999084472656,23.649999618530273,25.969999313354492,16.27393341064453,11.207514762878418,3.369999885559082,10.442771911621094,5.420000076293945,2.8254430294036865,20.010000228881836,6.127503871917725,24.700000762939453,41.150001525878906,58.20000076293945
2012-01-18,43.099998474121094,24.3700008392334,26.440000534057617,16.729276657104492,11.421331405639648,3.4666659832000732,10.552696228027344,5.940000057220459,2.818047046661377,20.010000228881836,6.311592102050781,25.75,41.54999923706055,60.79999923706055
2012-01-19,42.97999954223633,24.209999084472656,26.389999389648438,16.82489776611328,11.4569673538208,3.450000047683716,10.502731323242188,5.949999809265137,2.8343191146850586,20.010000228881836,6.337890148162842,25.799999237060547,41.900001525878906,60.93000030517578
2012-01-20,42.91999816894531,24.219999313354492,26.350000381469727,16.893199920654297,11.503293991088867,3.4666659832000732,10.532710075378418,6.019999980926514,2.831360101699829,20.010000228881836,6.3326311111450195,26.100000381469727,41.88999938964844,61.400001525878906
2012-01-23,42.61000061035156,25.1299991607666,27.299999237060547,16.574459075927734,11.474784851074219,3.4733328819274902,10.39080810546875,5.820000171661377,2.8357980251312256,20.010000228881836,6.2537360191345215,26.100000381469727,42.0,61.52000045776367
2012-01-24,43.0099983215332,25.399999618530273,27.729999542236328,16.27393341064453,11.549620628356934,3.4700000286102295,10.52871322631836,5.900000095367432,2.884614944458008,20.010000228881836,6.153801918029785,26.0,41.880001068115234,61.599998474121094
2012-01-26,42.790000915527344,24.920000076293945,27.190000534057617,16.5289249420166,11.656529426574707,3.563333034515381,10.492737770080566,5.920000076293945,2.9304730892181396,20.010000228881836,6.206398963928223,26.579999923706055,42.400001525878906,62.04999923706055
2012-01-27,43.040000915527344,24.670000076293945,26.860000610351562,16.44240951538086,11.74561882019043,3.630000114440918,10.342842102050781,5.989999771118164,2.8994081020355225,20.010000228881836,6.132763862609863,27.049999237060547,42.400001525878906,62.029998779296875
2012-01-30,43.4900016784668,24.56999969482422,26.799999237060547,16.16465187072754,11.553183555603027,3.6600000858306885,10.350835800170898,6.300000190734863,2.850590944290161,20.010000228881836,6.069647789001465,27.3700008392334,42.400001525878906,61.86000061035156
2012-01-31,44.70000076293945,24.56999969482422,26.90999984741211,15.991621017456055,11.189697265625,3.663332939147949,10.392807006835938,6.389999866485596,2.8816559314727783,20.010000228881836,6.0170512199401855,27.190000534057617,42.310001373291016,62.16999816894531
2012-02-01,45.599998474121094,24.950000762939453,27.200000762939453,16.255720138549805,11.164752006530762,3.846666097640991,10.532710075378418,6.630000114440918,2.8786981105804443,20.010000228881836,6.132763862609863,27.479999542236328,42.959999084472656,63.52000045776367
